id,member_num,,gender1,grade1,school1,major1,class1,,gender2,grade2,school2,major2,class2,,gender3,grade3,school3,major3,class3,试题编号,初审结果,average_gpa,学院差异性,性别多样性,专业多样性,ISC,DNC,HT,分类初审结果
73,3,,男,2023,高瓴人工智能学院,人工智能,高瓴人工智能一班,,男,2023,信息学院,计算机,23级理科实验班1班,,女,2023,经济学院,经济学数学,经数班,B,成功参赛,3.72,0.614098633,0.636514168,1.098612289,0.273493026,4,0.318257084,成功参赛（未获奖）
74,3,,男,2023,数学学院,数学与应用数学,2023级理科实验班,,女,2023,财政金融学院,金融学,2023级本科金融3班,,女,2023,商学院,工商管理类,2023级本科1班,C,北京二等奖,3.613333333,0.579490751,0.636514168,1.098612289,0.284685064,2,0.318257084,市级奖项
75,3,,男,2023,信息学院,计算机,信息学院2023级本科1班,,女,2023,信息学院,信息管理和信息系统,信管金科拔尖班,,男,2023,法学院,法学-工商管理,法商班,C,成功参赛,3.166666667,1.138197995,0.636514168,1.098612289,0.278923037,3,0.318257084,成功参赛（未获奖）
76,3,,男,2023,高瓴人工智能学院,人工智能,拔尖二班,,男,2023,高瓴人工智能学院,人工智能,拔尖二班,,男,2023,高瓴人工智能学院,人工智能,拔尖二班,A,北京二等奖,3.59,0,0,0,0,0,0,市级奖项
78,3,,女,2023,统计学院,应用统计学,3,,女,2023,统计学院,数据科学与大数据技术,3,,女,2023,高瓴人工智能学院,人工智能,2,B,成功参赛,3.686666667,0.402707193,0,1.098612289,0.555788621,0,0,成功参赛（未获奖）
79,3,,男,2022,公共管理学院,土地资源管理,土地资源管理本科1班,,男,2022,生态环境学院,明德环境“经济学-科学”实验班,明德环境“经济学-科学”实验班,,男,2022,财政金融学院,金融学-数据科学与大数据技术实验班,金融学-数据科学与大数据技术实验班,C,北京二等奖,3.8,0.97096881,0,1.098612289,0.600835841,6,0,市级奖项
80,3,,女,2023,财政金融学院,金融工程,金融一班,,女,2023,经济学院,经济学类,2023 级本科一班,,女,2023,经济学院,经济学类,2023 级本科四班,C,北京一等奖,3.616666667,0.182937124,0,0.636514168,0.327706274,3,0,市级奖项
81,3,,女,2023,历史学院,经济社会历史实验班,经济社会历史科学实验班-1班,,女,2023,信息学院,金融学-数据科学与大数据技术,信管金科拔尖实验班,,女,2023,高瓴人工智能学院,人工智能,人工智能拔尖1班,C,成功参赛,3.57,1.209414764,0,1.098612289,0.668569396,9,0,成功参赛（未获奖）
82,3,,女,2023,财政金融学院,金融学类,2023级金融一班,,女,2023,财政金融学院,金融学-数据科学与大数据技术（工学）双学位,2023级金融科技实验班,,男,2023,财政金融学院,财政学,2023级财政税收班,C,成功参赛,3.58,0,0.636514168,1.098612289,0.551608847,2,0.318257084,成功参赛（未获奖）
83,3,,男,2023,财政金融学院,金融学类,金融一班,,男,2023,财政金融学院,金融学,金融一班,,女,2023,财政金融学院,金融学,金融二班,C,成功参赛,3.863333333,0,0.636514168,0.636514168,0.367491626,0,0.318257084,成功参赛（未获奖）
84,3,,男,2022,统计学院,统计学类,2201,,女,2022,统计学院,统计学,2201,,男,2022,统计学院,统计学,2201,,未提交,3.476666667,0,0.636514168,0.636514168,0.367491626,0,0.318257084,未获奖
85,3,,女,2023,高瓴人工智能学院,人工智能,高瓴人工智能拔尖班1班,,女,2023,统计学院,统计学,本科2304班,,女,2023,财政金融学院,金融学—数据科学与大数据技术,金融科技实验班,C,北京二等奖,3.533333333,0.310202886,0,1.098612289,0.56638682,4,0,市级奖项
86,3,,男,2023,财政金融学院,金融学数据科学与大数据技术,“金融学-数据科学与大数据技术”双学位实验班,,男,2023,财政金融学院,“金融学-数据科学与大数据技术”双学位实验班,“金融学-数据科学与大数据技术”双学位实验班,,男,2023,财政金融学院,金融学,金融4班,B,成功参赛,3.696666667,0,0,1.098612289,0.634284101,4,0,成功参赛（未获奖）
87,3,,男,2023,统计学院,营销管理数据科学,2305班,,女,2023,财政金融学院,金融学,4班,,男,2023,统计学院,统计大类,2班,B,成功参赛,3.356666667,0.173347017,0.636514168,1.098612289,0.462632739,4.5,0.318257084,成功参赛（未获奖）
88,3,,男,2023,农业与农村发展学院,大数据技术与农林经管,农发2023级2班,,男,2023,商学院,工商管理类,2023级本科2班,,女,2023,商学院,工商管理类,2023级本科2班,B,北京二等奖,3.59,0.974848567,0.636514168,0.636514168,0.195337456,3,0.318257084,市级奖项
89,3,,女,2023,财政金融学院,金融学数据科学与大数据技术,2023金融学—数据科学与大数据技术（工学）班,,女,2023,财政金融学院,金融学—数据科学与大数据技术（工学）双学士学位复合型人才培养项目,2023金融学—数据科学与大数据技术（工学）班,,女,2023,财政金融学院,金融学—数据科学与大数据技术（工学）双学士学位复合型人才培养项目,2023金融学—数据科学与大数据技术（工学）班,C,成功参赛,3.673333333,0,0,0.636514168,0.367491626,0,0,成功参赛（未获奖）
